freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	|Z|/Ohm	Phase(Z)/deg	time/s	<Ewe>/V	<I>/mA	Cs/µF	Cp/µF	cycle number	|Ewe|/V	|I|/A	Ns	I Range	(Q-Qo)/mA.h	<Ece>/V	|Ece|/V	Phase(Zce)/deg	|Zce|/Ohm	Re(Zce)/Ohm	-Im(Zce)/Ohm	Phase(Zwe-ce)/deg	|Zwe-ce|/Ohm	Re(Zwe-ce)/Ohm	-Im(Zwe-ce)/Ohm	P/W	Re(Y)/Ohm-1	Im(Y)/Ohm-1	|Y|/Ohm-1	Phase(Y)/deg	dq/mA.h	
1.8742110E+002	7.0433187E+000	-2.4297519E+000	7.4506397E+000	1.9033031E+001	6.347068503802491E+004	1.3571594E+001	6.7062947E-006	-3.4949402E+002	-3.7168621E+001	1.000000000000000E+000	3.5486595E-005	4.7628923E-006	0	14	2.637180713588805E-008	1.3459949E+001	1.5577947E-002	-2.4803774E+001	3.2706904E+003	2.9689688E+003	1.3720935E+003	-2.4713524E+001	3.2760686E+003	2.9760120E+003	1.3696637E+003	0.0000000E+000	1.2687914E-001	-4.3769825E-002	1.3421667E-001	-1.9033031E+001	-6.884516783278137E-009
1.2699121E+002	1.1474747E+001	1.9583325E+000	1.1640656E+001	-9.6850481E+000	6.347112403804692E+004	1.3571530E+001	5.9774402E-006	6.3997064E+002	1.8112482E+001	1.000000000000000E+000	5.5452754E-005	4.7637136E-006	0	14	3.337020222017549E-008	1.3461913E+001	1.7217053E-002	-2.2319050E+001	3.6142083E+003	3.3434443E+003	1.3725453E+003	-2.2278814E+001	3.6255679E+003	3.3549192E+003	1.3745037E+003	0.0000000E+000	8.4681422E-002	1.4452117E-002	8.5905805E-002	9.6850481E+000	6.998395084287446E-009
8.5907173E+001	1.4357085E+001	1.0666219E+001	1.7885584E+001	-3.6609531E+001	6.347156503806915E+004	1.3571633E+001	7.4149893E-006	1.7369215E+002	6.1772465E+001	1.000000000000000E+000	8.5185522E-005	4.7628037E-006	0	14	3.358911755932089E-008	1.3463998E+001	1.8757308E-002	-1.9976824E+001	3.9382913E+003	3.7013279E+003	1.3454779E+003	-2.0050982E+001	3.9554321E+003	3.7156851E+003	1.3561442E+003	0.0000000E+000	4.4880744E-002	3.3342969E-002	5.5910952E-002	3.6609531E+001	2.189153391453940E-010
5.8157570E+001	9.2359562E+000	8.4608078E+000	1.2525500E+001	-4.2491947E+001	6.347202403809223E+004	1.3571626E+001	6.7395108E-006	3.2344620E+002	1.4758273E+002	1.000000000000000E+000	5.9675222E-005	4.7642984E-006	0	14	3.907874291521946E-008	1.3439903E+001	2.0351710E-002	-1.7849527E+001	4.2717119E+003	4.0660920E+003	1.3093575E+003	-1.7919392E+001	4.2830996E+003	4.0753279E+003	1.3178184E+003	0.0000000E+000	5.8869686E-002	5.3928908E-002	7.9837129E-002	4.2491947E+001	5.489625355898576E-009
3.9407314E+001	9.7389116E+000	-2.8467262E+000	1.0146441E+001	1.6293871E+001	6.347247403811489E+004	1.3571719E+001	6.8380350E-006	-1.4187230E+003	-1.1167645E+002	1.000000000000000E+000	4.8320158E-005	4.7622766E-006	0	14	4.241922696351392E-008	1.3423226E+001	2.1837847E-002	-1.5969727E+001	4.5855898E+003	4.4086191E+003	1.2616306E+003	-1.5902178E+001	4.5941729E+003	4.4183579E+003	1.2587839E+003	0.0000000E+000	9.4598226E-002	-2.7651474E-002	9.8556727E-002	-1.6293871E+001	3.340484048294455E-009
2.6682035E+001	-1.0164801E+000	1.1242278E+001	1.1288137E+001	-9.5166397E+001	6.347289303813595E+004	1.3571613E+001	6.8988643E-006	5.3057507E+002	5.2627277E+002	1.000000000000000E+000	5.3742377E-005	4.7609606E-006	0	14	4.425029681440012E-008	1.3442028E+001	2.3227034E-002	-1.3929823E+001	4.8786445E+003	4.7351699E+003	1.1744521E+003	-1.4060801E+001	4.8803770E+003	4.7341533E+003	1.1856945E+003	0.0000000E+000	-7.9772677E-003	8.8228673E-002	8.8588573E-002	9.5166397E+001	1.831069850886203E-009
1.8042725E+001	8.4290142E+000	-4.8444286E-002	8.4291534E+000	3.2929385E-001	6.347338303816062E+004	1.3571695E+001	1.0497781E-005	-1.8208553E+005	-6.0144048E+000	1.000000000000000E+000	4.0143186E-005	4.7624221E-006	0	14	4.667858252091466E-008	1.3425471E+001	2.4439385E-002	-1.2268353E+001	5.1317134E+003	5.0145210E+003	1.0904413E+003	-1.2247859E+001	5.1399404E+003	5.0229502E+003	1.0903928E+003	0.0000000E+000	1.1863392E-001	-6.8182772E-004	1.1863588E-001	-3.2929385E-001	2.428285706514544E-009
1.2226137E+001	5.2044716E+000	-1.0307211E+001	1.1546650E+001	6.3209194E+001	6.347375103817903E+004	1.3571673E+001	5.8281530E-006	-1.2629603E+003	-1.0063755E+003	1.000000000000000E+000	5.4997243E-005	4.7630474E-006	0	14	1.762885162089687E-008	1.3458906E+001	2.5557263E-002	-1.0847659E+001	5.3657378E+003	5.2698574E+003	1.0098229E+003	-1.0729177E+001	5.3689209E+003	5.2750620E+003	9.9951569E+002	0.0000000E+000	3.9035939E-002	-7.7308841E-002	8.6605206E-002	-6.3209194E+001	-2.904973090001780E-008
8.2759562E+000	1.6946356E+001	-4.6750984E+000	1.7579407E+001	1.5422920E+001	6.347428403820586E+004	1.3571568E+001	8.8484358E-006	-4.1134971E+003	-2.9092715E+002	1.000000000000000E+000	8.3722567E-005	4.7625367E-006	0	14	5.547753567004242E-008	1.3419818E+001	2.6523456E-002	-9.7142382E+000	5.5691865E+003	5.4893330E+003	9.3971295E+002	-9.6376324E+000	5.5851060E+003	5.5062793E+003	9.3503784E+002	0.0000000E+000	5.4836269E-002	-1.5128029E-002	5.6884740E-002	-1.5422920E+001	3.784868404914556E-008
5.6043758E+000	1.3134139E+001	1.2942951E+000	1.3197758E+001	-5.6280041E+000	6.347468303822598E+004	1.3571686E+001	7.1093468E-006	2.1941160E+004	2.1102109E+002	1.000000000000000E+000	6.2873958E-005	4.7639878E-006	0	14	6.861793141954169E-008	1.3451530E+001	2.7516400E-002	-8.6974125E+000	5.7759175E+003	5.7094985E+003	8.7341217E+002	-8.6904182E+000	5.7890967E+003	5.7226328E+003	8.7470648E+002	0.0000000E+000	7.5405203E-002	7.4307560E-003	7.5770445E-002	5.6280041E+000	1.314039574949927E-008
